id,name,description,category,subcategory,tag-1,tag-2,tag-3,mood_short,function,ingerdient-1,rate-1,ingerdient-2,rate-2,ingerdient-3,rate-3,ingerdient-4,rate-4,garden,nature,taste,color,diy-kit,quantity,tempC,steepMin,timeDay,timeSeason-1,timeSeason-2,moment,intensity,taste-mod,caffeineLevel,origin,processing,useCases,allergens,isCaffeineFree,isOrganic,serveTemp,coldBrewRecommended,lukewarmRecommended
30,Adaptogén Nyugalom,"Egy apró bögre, ami úgy működik, mint a szundi gomb. Nem állít meg semmit, de ad még egy kis lélegzetet.",Relax & Alvás,Esti relax,stresszoldás,friss,aranyló,"Mini szünet, maxi béke.",alvás & lecsendesítés,tulsi,66,ashwagandha,20,levendula,6,citromfű,8,3,1,"friss, virágos",aranyló-sárgás,1,1 ek / 250 ml víz,90–95,5–7,este,ősz,,Általános jólét,Közepes,"Gyömbérszelet, Méz",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,"langyosan, forrón is",FALSE,TRUE
55,Afrikai Naplemente,"Rooibos narancshéjjal: nem forradalom, csak kellemes zárókép. Mint egy lassú, vörös fényű est, ami magától megtörténik.",Rituálé & Szertartás,Meditáció,friss,mély narancsos,,Vörös alkony Fokföldről.,kiegyensúlyozás,rooibos,82,narancshéj,10,vanília,8,,0,3,2,"friss, édeskés",mély narancsos-vöröses,3,1 tk / 250 ml víz,95–100,6–8,este,ősz,tél,Általános jólét,Közepes,"Narancskarika, Gyömbérszelet",mentes,Dél-Afrika – fennsík,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,"forrón, jegesen is",TRUE,FALSE
75,Alap Derű,"Egy bögre, ami pontosan annyit tud, amennyit kell: erdőíz, egy kis gyógynövény, és az érzés, hogy a sétát folytathatod a fotelben is.",Immunitás & Tisztulás,Nyári frissesség,légutak támogatása,földes,mélyvörös,"Alap derű, erdei módra.",kiegyensúlyozás,csipkebogyó,60,zsálya,20,kakukkfű,12,bodzabogyó,8,2,3,"földes, bogyós, gyógynövényes",mélyvörös-barnás,3,1 ek / 250 ml víz,90–95,5–7,napközben,Ősz,,Erdei séta után,Közepes,"Méz, szárított bogyók",mentes,Közép-Európa – vadon/kert,szárított (gyógynövény/gyümölcs),wellness,nincs,igen,igen,"jegesen, forrón is",TRUE,FALSE
53,Alpesi Erő,"Ez nem hegymászás, hanem halk beleegyezés. Kortyolva inkább apró tisztaság, mint nagy ígéret.",Rituálé & Szertartás,Meditáció,virágos,halvány arany,,"Finom erő, halk beleegyezés.",kiegyensúlyozás,csalán,62,zsálya,20,kakukkfű,12,hársvirág,6,2,2,virágos,halvány arany-barnás,1,1 ek / 250 ml víz,90–95,5–7,napközben,ősz,tél,Általános jólét,Közepes,"Fahéjrúd, Friss menta",mentes,Közép-Európa – vadon/kert,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,forrón,FALSE,FALSE
58,Amazonas Zöldje,"Guayusa és menta – egyszerű ébresztő. Inkább tisztít, mint pörget, és közben a nevéhez hűen zöld marad.",Dél-Amerikai Erő,Illatos,friss,aranyló,,Ébredés az Amazonas mélyéről.,fókusz & éberség,guayusa levél,80,citromfű,10,menta,10,,0,1,2,friss,aranyló-sárgás,1,1 ek / 250 ml víz,90–95,5–7,reggel,tavasz,nyár,Általános jólét,Közepes,"Alma chips, Fahéjrúd",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),általános,nincs,igen,igen,forrón,FALSE,FALSE
57,Andoki Fény,"Mate és gyömbér lendület, semmi cicoma. Olyan, mint egy friss reggeli mondat: rövid, egyenes, hatékony.",Rituálé & Szertartás,Rituálé,friss,világoszöld,,Lendület az Andokból.,kiegyensúlyozás,mate,82,citromhéj,10,gyömbér,8,,0,2,3,"friss, fűszeres",világoszöld-sárga,3,1 tk / 250 ml víz,90–95,5–7,reggel,egész évben,,Általános jólét,Közepes,"Alma chips, Fahéjrúd",magas,Dél-Amerika – fennsík,szárított (gyógynövény/gyümölcs),általános,nincs,nem,igen,forrón,FALSE,FALSE
31,Anyagcsere Tűz,"Ez a korty nem varázslat, inkább egy halk sercegés a belsődben. Nem gyújt lángra semmit, csak rendet rak az emésztésben.",Rituálé & Szertartás,Meditáció,emésztés,friss,világoszöld,Kortyold fel a jókedvet.,emésztés & komfort,zöld tea,62,mate,20,citromfű,10,gyömbér,8,2,3,"friss, fűszeres",világoszöld-sárga,1,1 tk / 250 ml víz,75–85,2–3,reggel,tavasz,,Étkezés utáni könnyedség,Közepes,"Fahéjrúd, Alma chips",közepes,Vegyes eredet,minimális oxidáció (zöld),étkezés után,nincs,nem,igen,"forrón, jegesen is",TRUE,FALSE
39,Apró Derű,"Ez nem harsány nevetés, inkább egy mosoly, amit nem tudsz visszatartani. Csokoládés és fűszeres, pont annyira, hogy feldobjon.",Rituálé & Szertartás,Rituálé,energizáló,fűszeres,halvány arany,Csokoládés jókedv egy pillanatban.,kreativitás & jókedv,kakaóhéj,72,fahéj,8,chili,12,vanília,8,3,3,fűszeres,halvány arany-barnás,2,1 ek / 250 ml víz,90–95,5–7,délután,ősz,tél,"Napindítás, munka közben",Közepes,"Méz, Narancskarika",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),fókusz,nincs,igen,igen,forrón,FALSE,FALSE
65,Apró Kényelem,"Olyan, mintha a párna átölelne belülről. Nem nagy altató, inkább egy „ne aggódj, elengedlek” gesztus.",Indiai Teák & Ayurveda,Esti relax,alvástámogató,lágy,aranyló,Kényelmes altató egy kortyban.,alvás & lecsendesítés,citromfű,68,kamilla,20,levendula,6,körömvirág,6,3,3,"lágy, virágos, enyhén édeskés",aranyló-sárgás,3,1 ek / 250 ml víz,90–95,5–7,este,tavasz,nyár,Mindennapi relax,Könnyű,"Méz, citromkarika",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),"alvás, relax",citrus-héj,igen,igen,"langyosan, forrón is",TRUE,TRUE
68,Apró Kikapcs,"Ez a tea úgy állítja le a napot, mint a „pause” gomb. Nem törli az egészet, csak ad egy kis levegőt.",Relax & Alvás,Védelem,immunrendszer támogatása,savanykás,mélyvörös,Apró fűszeres kikapcs.,immun & védelem,gyömbér,66,csipkebogyó,20,hibiszkusz,6,fahéj,8,1,2,"savanykás, fűszeresen csípős, telt",mélyvörös-bordó,1,1.5 ek / 250 ml víz,95–100,6–8,napközben,ősz,tél,"Betegségmegelőzés, immunerősítés",Erős,"Méz, citrom, fahéjrúd",mentes,Vegyes eredet,szárított (gyógynövény/gyümölcs),"fókusz, wellness",nincs,igen,igen,"forrón, jegesen is",TRUE,FALSE
